rank,Protein,Bait,rep1,rep2,pi1,pi2,pi3,gamma3,gamma3_avg,FDR
1652,THAP4,TMEMV5,1.0,3.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2389340896065855e-37,0.9031376624353704
1652,THAP4,TMEMmyc,2.0,3.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,4.950684274260251e-40,2.2389340896065855e-37,0.9031376624353704
1652,TPP1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2389340896065855e-37,0.9035570663712172
1652,TPP1,TMEMmyc,3.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,4.950684274260251e-40,2.2389340896065855e-37,0.9035570663712172
1652,TRIM32,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2389340896065855e-37,0.9033178528111624
1652,TRIM32,TMEMmyc,2.0,3.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,4.950684274260251e-40,2.2389340896065855e-37,0.9033178528111624
1652,TRIM4,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2389340896065855e-37,0.9034774601527865
1652,TRIM4,TMEMmyc,3.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,4.950684274260251e-40,2.2389340896065855e-37,0.9034774601527865
1652,TTC7A,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2389340896065855e-37,0.9033578041116537
1652,TTC7A,TMEMmyc,4.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,4.950684274260251e-40,2.2389340896065855e-37,0.9033578041116537
1652,WDR19,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2389340896065855e-37,0.9039136754109293
1652,WDR19,TMEMmyc,2.0,3.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,4.950684274260251e-40,2.2389340896065855e-37,0.9039136754109293
1653,ALKBH5,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.904599586355375
1653,ALKBH5,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.904599586355375
1653,ARFGAP3,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9049292219309764
1653,ARFGAP3,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9049292219309764
1653,CDH2,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9042480597544327
1653,CDH2,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9042480597544327
1653,CIRBP,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9039925640189662
1653,CIRBP,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9039925640189662
1653,CKAP2L,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9040516455180315
1653,CKAP2L,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9040516455180315
1653,COL4A2,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.904130307829556
1653,COL4A2,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.904130307829556
1653,CRKL,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9046190399470644
1653,CRKL,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9046190399470644
1653,DENND10,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9049098946737962
1653,DENND10,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9049098946737962
1653,DYNLT1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9049678528850881
1653,DYNLT1,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9049678528850881
1653,EAPP,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9043850719338519
1653,EAPP,TMEMmyc,1.0,3.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9043850719338519
1653,ENTR1,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9042872461429105
1653,ENTR1,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9042872461429105
1653,FBXO45,TMEMV5,1.0,3.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9044241462812431
1653,FBXO45,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9044241462812431
