"Genotype","cell_num","Puncta_ID","Puncta_Circularity","Puncta_Area","Intra_Puncta_Green_Intensity","Intra_Puncta_Red_Intensity","GreenRed_Ratio","Cell_Body_Area","Puncta_Count","Cell_Avg_Puncta_Green_Intensity","Cell_Avg_Puncta_Red_Intensity","Puncta_Count_Normalized_to_Cell_Area","Cell_Avg_Puncta_GreenRedRatio"
"WT","5","4","0.99128125187961003","0.428966883293556","897.89419795221795","671.37201365187696","1.3374018870226521","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","5","0.99128125187961003","0.428966883293556","1024.22866894197","1152.7747440272999","0.88848985827339944","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","6","0.99128125187961003","0.428966883293556","869.10238907849805","742.80546075085294","1.1700269249501476","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","7","0.99128125187961003","0.428966883293556","806.50170648464098","575.08191126279803","1.4024118837500523","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","8","0.99128125187961003","0.428966883293556","865.15017064846404","960.86689419795198","0.90038503342402698","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","9","0.99128125187961003","0.428966883293556","1215.1058020477799","1184.9180887371999","1.0254766245848705","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","10","0.99128125187961003","0.428966883293556","701.88737201365097","702.58361774744003","0.99900902082513499","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","11","0.99128125187961003","0.428966883293556","678.26279863481204","980.86348122866798","0.69149561749938282","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","12","0.99128125187961003","0.428966883293556","696.16040955631399","878.860068259385","0.79211746522411186","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","13","0.99128125187961003","0.428966883293556","890.34470989760996","713.94539249146703","1.2470767642194025","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","14","0.79891575628560496","0.30159446402209","1076.92718446601","567.60679611650403","1.897311998084261","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","15","0.81489409103813404","0.295738260837195","970.13861386138603","458.57425742574202","2.1155540202090015","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","16","0.99128125187961003","0.428966883293556","687.19112627986306","549.64163822525597","1.2502530348660306","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","17","0.99128125187961003","0.428966883293556","739.109215017064","573.860068259385","1.2879606996508883","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","18","0.99128125187961003","0.428966883293556","958.269624573378","1508.5460750853199","0.63522728301101472","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","19","0.99128125187961003","0.428966883293556","924.70648464163799","593.74061433447002","1.5574250140832138","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","20","0.96781535133155405","0.440679289663346","996.12292358803904","616.352159468438","1.6161587305009648","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","21","0.99128125187961003","0.428966883293556","780.34470989760996","709.27645051194497","1.1001982503921695","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","22","0.99128125187961003","0.428966883293556","876.634812286689","80.283276450511906","10.91927050121158","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","5","23","0.96536091117116096","0.455319797625583","1143.4019292604501","72.434083601286105","15.785413059883709","336.26172282587203","23","890.75922271140098","702.38940337027395","6.8399102362031696","1.26818431262953"
"WT","6","1","0.80425008457573499","0.245960533765588","171.66071428571399","684.85714285714198","0.25065185648727567","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","2","0.89483246028307994","0.303058514818314","134.36714975845399","412.47342995168998","0.32575952776931943","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","3","0.92315127677383502","0.417254476923766","282.045614035087","1258.90526315789","0.22404038039176366","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","4","0.86976023524161505","0.0893070985696482","243.91803278688499","1012.75409836065","0.24084625594872072","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","5","0.92348171674638102","0.414326375331318","322.69611307420399","1352.27915194346","0.23863128601105299","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","6","0.81480274424615595","0.537306642214113","181.77111716621201","753.05449591280603","0.24137843695612005","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","7","0.89870329930159099","0.244496482969364","270.15568862275398","862.39520958083801","0.31326204693792481","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","8","0.86630051057559698","0.303058514818314","209.444444444444","950.59420289854995","0.22033002495261009","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","9","0.96348250226840704","0.446535492848241","208.87213114753999","1062.0721311475399","0.19666473210426805","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","10","0.87954645333209303","0.241568381376917","144.03636363636301","578.75757575757495","0.24887166867375182","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","11","0.97242951092021801","0.436287137274674","306.33221476509999","1241.0335570469799","0.24683636717609211","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","12","0.92309848907441105","0.639790197949775","363.27917620137299","1323.5400457665901","0.27447539450229697","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","13","0.92416094598740695","0.513881829474533","225.38746438746401","1213.90028490028","0.18567214061242207","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","6","14","0.85493104733162695","0.50509752469719","227.869565217391","981.28405797101402","0.2322157008120089","50.121779008719699","14","245.106143719144","1029.3820625342801","27.931969448978201","0.238109981356879"
"WT","7","1","0.99128125187961003","0.428966883293556","20.242320819112599","0.19112627986348099","105.91071428571426","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","2","0.98113161448835096","0.424574730904885","17.8827586206896","29.731034482758599","0.60148457434469815","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","3","0.99128125187961003","0.428966883293556","34.873720136518699","56.744027303754201","0.6145795741609521","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","4","0.89583435061602101","0.354300292686145","24.041322314049498","41.194214876033001","0.58360918848429999","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
